,reviews,rating,ebikes,total_bikes
2780,1099,4.0,2,14
2781,588,4.0,2,14
2782,361,4.0,2,14
2783,557,3.5,2,14
2784,1151,4.0,2,14
2785,555,4.5,2,14
2786,96,5.0,2,14
2787,595,4.5,2,14
2788,1689,3.5,2,14
2789,631,4.5,2,14
2790,26,4.0,2,14
2791,743,3.5,2,14
2792,873,4.0,2,14
2793,614,4.5,2,14
2794,377,4.5,2,14
2795,336,4.0,4,5
2796,107,4.5,4,5
2797,589,4.0,0,3
2798,948,4.0,0,3
2799,262,4.5,0,3
2800,143,3.0,0,3
2801,406,4.5,0,3
2802,317,4.0,0,3
2803,69,4.5,0,3
2804,332,4.0,0,3
2805,99,4.5,0,3
2806,187,4.0,0,3
2807,435,4.5,0,3
2808,79,4.0,0,3
2809,74,4.0,0,3
2810,80,5.0,0,3
2811,137,3.5,0,3
2812,106,4.5,0,3
2813,240,4.0,0,3
2814,38,4.5,0,3
2815,225,3.0,0,3
2816,196,4.5,0,3
2817,143,3.0,2,4
2818,589,4.0,2,4
2819,948,4.0,2,4
2820,262,4.5,2,4
2821,38,4.5,2,4
2822,406,4.5,2,4
2823,79,4.0,2,4
2824,106,4.5,2,4
2825,69,4.5,2,4
2826,332,4.0,2,4
2827,74,4.0,2,4
2828,137,3.5,2,4
2829,225,3.0,2,4
2830,80,5.0,2,4
2831,155,3.5,2,4
2832,99,4.5,2,4
2833,435,4.5,2,4
2834,187,4.0,2,4
2835,240,4.0,2,4
2836,196,4.5,2,4
2837,16,5.0,2,9
2838,16,5.0,3,10
2839,147,5.0,2,9
2840,147,5.0,3,10
2841,0,0.0,2,9
2842,0,0.0,3,10
2843,4,3.0,2,9
2844,4,3.0,3,10
2845,20,3.0,2,9
2846,20,3.0,3,10
2847,2,2.5,2,9
2848,2,2.5,3,10
2849,0,0.0,2,9
2850,0,0.0,3,10
2851,116,4.5,3,3
2852,135,4.0,3,3
2853,105,4.5,3,3
2854,22,4.0,3,3
2855,205,4.5,3,3
2856,107,4.5,3,3
2857,150,4.5,3,3
2858,133,4.5,3,3
2859,116,4.5,3,3
2860,35,4.5,3,3
2861,244,4.5,3,3
2862,80,5.0,3,3
2863,138,4.5,3,3
2864,33,4.5,3,3
2865,32,4.5,3,3
2866,155,4.5,3,3
2867,70,2.0,3,3
2868,48,4.5,3,3
2869,40,4.0,3,3
2870,28,5.0,3,3
2871,284,4.0,0,3
2872,82,4.5,0,3
2873,111,3.5,0,3
2874,897,3.5,1,5
